# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
AY485520.1.1762	7.0	14.0	14.0	0.0	5.0	1764.0	87.0	1534.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Cymatosirales; f__Cymatosiraceae
HQ912569.1.1422	36.0	33.0	19.0	1.0	0.0	2427.0	170.0	698.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Cymatosirales; f__Cymatosiraceae
DQ386760.1.1531	88.0	106.0	477.0	1.0	12.0	641.0	426.0	437.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Kareniaceae; g__Karlodinium; s__uncultured_marine
KJ760745.1.1794	4.0	0.0	57.0	0.0	5.0	407.0	28.0	36.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Syndiniales
JF826336.1.1604	1.0	1.0	259.0	7.0	0.0	78.0	151.0	3.0	d__Eukaryota
AY343928.1.1812	24.0	63.0	73.0	277.0	75.0	0.0	6.0	10.0	d__Eukaryota; p__Picozoa; c__Picozoa; o__Picozoa; f__Picozoa; g__Picozoa; s__uncultured_rhodophyte
AF290539.1.1815	26.0	73.0	2.0	134.0	6.0	626.0	10.0	8.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas; s__uncultured_eukaryote
KJ759275.1.1806	17.0	25.0	38.0	138.0	199.0	2.0	3.0	17.0	d__Eukaryota; p__Picozoa; c__Picomonadida; o__Picomonadida; f__Picomonadida; g__Picomonadida; s__uncultured_eukaryote
AF145226.1.1782	66.0	73.0	265.0	0.0	0.0	3.0	1.0	5.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__uncultured_eukaryote
KJ763331.1.1798	36.0	49.0	15.0	4.0	133.0	41.0	14.0	273.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina
KM055115.1.1791	1.0	17.0	34.0	10.0	45.0	186.0	33.0	28.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__Picochlorum_maculatum
DQ222878.1.1801	20.0	16.0	44.0	149.0	31.0	0.0	0.0	0.0	d__Eukaryota; p__Picozoa; c__Picomonadida
JX457432.1.1523	0.0	3.0	27.0	1.0	11.0	300.0	20.0	18.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae
KJ763476.1.1798	46.0	99.0	107.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_eukaryote
KJ763293.1.1793	172.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales
AB191410.1.1725	0.0	0.0	0.0	0.0	0.0	65.0	201.0	6.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Ebriacea; f__Ebriacea; g__Ebria; s__uncultured_eukaryote
KF129971.1.1755	45.0	4.0	2.0	0.0	0.0	4.0	139.0	2.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I
KC488575.1.1712	46.0	79.0	2.0	28.0	60.0	1.0	1.0	0.0	d__Eukaryota; p__Cercozoa; c__Imbricatea; o__Thaumatomonadida; f__Thaumatomonadida; g__D2P04A09; s__uncultured_Rhizaria
AF166381.1.1793	0.0	0.0	6.0	0.0	5.0	162.0	53.0	11.0	d__Eukaryota; p__Chlorophyta; c__Chlorodendrophyceae; o__Chlorodendrales; f__Chlorodendrales; g__Tetraselmis; s__Tetraselmis_sp.
KF129681.1.1759	34.0	147.0	0.0	0.0	0.0	1.0	12.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II
JF791095.1.1777	0.0	7.0	11.0	0.0	1.0	7.0	38.0	85.0	d__Eukaryota; p__Kathablepharidae; c__Kathablepharidae; o__Kathablepharidae; f__Kathablepharidaceae; g__Leucocryptos; s__Leucocryptos_marina
KJ763145.1.1796	98.0	46.0	9.0	90.0	2.0	0.0	22.0	2.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
KF129850.1.1750	58.0	113.0	3.0	2.0	5.0	5.0	0.0	5.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I
AY129046.1.1799	27.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__Amoebophrya_sp.
