sequence	16S_rRNA_Count	metadata_NSTI
P15Sotu10	1	0.023704
P15Sotu103	1	0.157914
P15Sotu104	1	0.405805
P15Sotu116	1	0.189501
P15Sotu12	1	0.004715
P15Sotu130	1	0.3361
P15Sotu132	1	0.050187
P15Sotu138	1	0.089068
P15Sotu14	1	0.089031
P15Sotu144	1	0.168731
P15Sotu145	1	0.298622
P15Sotu149	1	0.06355
P15Sotu158	1	0.204092
P15Sotu16	3	0.027958
P15Sotu162	1	0.398697
P15Sotu209	1	0.010002
P15Sotu218	1	0.071413
P15Sotu227	1	0.297198
P15Sotu235	1	0.026954
P15Sotu25	1	0.007755
P15Sotu265	1	0.419275
P15Sotu3	1	0.006182
P15Sotu32	1	0.034087
P15Sotu328	1	0.044348
P15Sotu354	1	0.332535
P15Sotu422	1	0.341121
P15Sotu500	1	0.123949
P15Sotu61	1	0.037289
P15Sotu62	1	0.326976
P15Sotu7	1	0.041051
P15Sotu70	1	0.00015
P15Sotu75	1	0.094653
P15Sotu77	1	0.634673
P15Sotu95	1	0.031822
