normalized	G34369	G34370	G34371	G34372	G34373	G34374	G34375	G34376	G34377	G34378
P15Sotu10	1238.0	1053.0	987.0	1011.0	1167.0	1028.0	624.0	1277.0	1141.0	1255.0
P15Sotu103	281.0	174.0	81.0	80.0	86.0	80.0	69.0	91.0	71.0	177.0
P15Sotu104	659.0	447.0	294.0	304.0	336.0	292.0	589.0	309.0	131.0	161.0
P15Sotu116	103.0	95.0	117.0	102.0	130.0	146.0	67.0	169.0	165.0	95.0
P15Sotu12	445.0	536.0	256.0	279.0	370.0	424.0	415.0	529.0	812.0	705.0
P15Sotu130	188.0	151.0	303.0	276.0	196.0	239.0	396.0	182.0	211.0	99.0
P15Sotu132	101.0	248.0	514.0	392.0	594.0	217.0	489.0	334.0	211.0	193.0
P15Sotu138	363.0	553.0	446.0	479.0	485.0	160.0	328.0	354.0	343.0	305.0
P15Sotu14	328.0	271.0	362.0	437.0	383.0	297.0	264.0	398.0	457.0	556.0
P15Sotu144	491.0	245.0	82.0	50.0	63.0	132.0	238.0	76.0	56.0	83.0
P15Sotu145	55.0	44.0	132.0	99.0	177.0	101.0	120.0	132.0	163.0	188.0
P15Sotu149	247.0	276.0	162.0	143.0	238.0	238.0	371.0	193.0	144.0	174.0
P15Sotu158	241.0	419.0	681.0	650.0	535.0	289.0	383.0	442.0	330.0	413.0
P15Sotu16	0.0	5.33	0.67	2.33	3.0	1371.67	493.67	86.0	161.33	210.33
P15Sotu162	290.0	326.0	324.0	249.0	344.0	331.0	645.0	292.0	186.0	274.0
P15Sotu209	145.0	146.0	264.0	251.0	159.0	108.0	168.0	185.0	202.0	312.0
P15Sotu218	154.0	187.0	140.0	119.0	130.0	178.0	181.0	130.0	171.0	200.0
P15Sotu227	204.0	184.0	121.0	133.0	95.0	96.0	141.0	138.0	64.0	61.0
P15Sotu235	323.0	320.0	151.0	203.0	195.0	252.0	279.0	322.0	500.0	587.0
P15Sotu25	350.0	306.0	156.0	205.0	223.0	338.0	450.0	475.0	945.0	1090.0
P15Sotu265	45.0	94.0	135.0	146.0	137.0	112.0	217.0	143.0	180.0	146.0
P15Sotu3	5808.0	4698.0	3556.0	4198.0	3585.0	4614.0	4112.0	4919.0	4846.0	3922.0
P15Sotu32	631.0	583.0	658.0	698.0	639.0	444.0	388.0	679.0	724.0	683.0
P15Sotu328	78.0	191.0	348.0	318.0	385.0	157.0	251.0	185.0	151.0	90.0
P15Sotu354	74.0	121.0	200.0	159.0	180.0	105.0	115.0	138.0	65.0	92.0
P15Sotu422	51.0	112.0	142.0	181.0	122.0	98.0	193.0	123.0	30.0	33.0
P15Sotu500	51.0	85.0	155.0	117.0	263.0	64.0	239.0	115.0	81.0	131.0
P15Sotu61	963.0	955.0	982.0	993.0	806.0	662.0	514.0	848.0	749.0	715.0
P15Sotu62	966.0	1282.0	1254.0	1092.0	881.0	182.0	334.0	401.0	578.0	441.0
P15Sotu7	187.0	192.0	202.0	158.0	228.0	180.0	161.0	424.0	350.0	227.0
P15Sotu70	879.0	1525.0	1797.0	1704.0	1614.0	805.0	1259.0	1061.0	975.0	804.0
P15Sotu75	104.0	153.0	153.0	151.0	134.0	81.0	127.0	165.0	205.0	214.0
P15Sotu77	116.0	105.0	80.0	76.0	104.0	109.0	117.0	155.0	182.0	241.0
P15Sotu95	101.0	148.0	159.0	111.0	209.0	110.0	112.0	150.0	88.0	150.0
