otu97	G34369	G34370	G34371	G34372	G34373	G34374	G34375	G34376	G34377	G34378
P15Sotu3	5808	4698	3556	4198	3585	4614	4112	4919	4846	3922
P15Sotu70	879	1525	1797	1704	1614	805	1259	1061	975	804
P15Sotu10	1238	1053	987	1011	1167	1028	624	1277	1141	1255
P15Sotu61	963	955	982	993	806	662	514	848	749	715
P15Sotu62	966	1282	1254	1092	881	182	334	401	578	441
P15Sotu16	0	16	2	7	9	4115	1481	258	484	631
P15Sotu32	631	583	658	698	639	444	388	679	724	683
P15Sotu12	445	536	256	279	370	424	415	529	812	705
P15Sotu25	350	306	156	205	223	338	450	475	945	1090
P15Sotu158	241	419	681	650	535	289	383	442	330	413
P15Sotu138	363	553	446	479	485	160	328	354	343	305
P15Sotu14	328	271	362	437	383	297	264	398	457	556
P15Sotu104	659	447	294	304	336	292	589	309	131	161
P15Sotu132	101	248	514	392	594	217	489	334	211	193
P15Sotu162	290	326	324	249	344	331	645	292	186	274
P15Sotu235	323	320	151	203	195	252	279	322	500	587
P15Sotu7	187	192	202	158	228	180	161	424	350	227
P15Sotu130	188	151	303	276	196	239	396	182	211	99
P15Sotu149	247	276	162	143	238	238	371	193	144	174
P15Sotu328	78	191	348	318	385	157	251	185	151	90
P15Sotu209	145	146	264	251	159	108	168	185	202	312
P15Sotu218	154	187	140	119	130	178	181	130	171	200
P15Sotu144	491	245	82	50	63	132	238	76	56	83
P15Sotu75	104	153	153	151	134	81	127	165	205	214
P15Sotu265	45	94	135	146	137	112	217	143	180	146
P15Sotu95	101	148	159	111	209	110	112	150	88	150
P15Sotu500	51	85	155	117	263	64	239	115	81	131
P15Sotu77	116	105	80	76	104	109	117	155	182	241
P15Sotu354	74	121	200	159	180	105	115	138	65	92
P15Sotu227	204	184	121	133	95	96	141	138	64	61
P15Sotu145	55	44	132	99	177	101	120	132	163	188
P15Sotu103	281	174	81	80	86	80	69	91	71	177
P15Sotu116	103	95	117	102	130	146	67	169	165	95
P15Sotu422	51	112	142	181	122	98	193	123	30	33
