locus_tag	ftype	length_bp	gene	EC_number	COG	product
IGKOFFHN_00001	gene	864				
IGKOFFHN_00001	CDS	864				hypothetical protein
IGKOFFHN_00002	gene	1332				
IGKOFFHN_00002	CDS	1332				hypothetical protein
IGKOFFHN_00003	gene	804				
IGKOFFHN_00003	CDS	804				hypothetical protein
IGKOFFHN_00004	gene	537				
IGKOFFHN_00004	CDS	537				hypothetical protein
IGKOFFHN_00005	gene	387				
IGKOFFHN_00005	CDS	387				hypothetical protein
IGKOFFHN_00006	gene	414				
IGKOFFHN_00006	CDS	414				hypothetical protein
IGKOFFHN_00007	gene	258				
IGKOFFHN_00007	CDS	258				hypothetical protein
IGKOFFHN_00008	gene	540				
IGKOFFHN_00008	CDS	540				hypothetical protein
IGKOFFHN_00009	gene	723				
IGKOFFHN_00009	CDS	723				hypothetical protein
IGKOFFHN_00010	gene	288				
IGKOFFHN_00010	CDS	288				hypothetical protein
IGKOFFHN_00011	gene	363				
IGKOFFHN_00011	CDS	363				hypothetical protein
IGKOFFHN_00012	gene	474				
IGKOFFHN_00012	CDS	474				hypothetical protein
IGKOFFHN_00013	gene	1329				
IGKOFFHN_00013	CDS	1329				hypothetical protein
IGKOFFHN_00014	gene	381				
IGKOFFHN_00014	CDS	381				hypothetical protein
IGKOFFHN_00015	gene	459	xcpT_1			
IGKOFFHN_00015	CDS	459	xcpT_1		COG2165	Type II secretion system protein G
IGKOFFHN_00016	gene	954	xcpX			
IGKOFFHN_00016	CDS	954	xcpX		COG3156	Type II secretion system protein K
IGKOFFHN_00017	gene	1146				
IGKOFFHN_00017	CDS	1146				hypothetical protein
IGKOFFHN_00018	gene	546				
IGKOFFHN_00018	CDS	546				hypothetical protein
IGKOFFHN_00019	gene	2352	gspD2			
IGKOFFHN_00019	CDS	2352	gspD2			Secretin GspD 2
IGKOFFHN_00020	gene	1407	hxcR			
IGKOFFHN_00020	CDS	1407	hxcR		COG2804	putative type II secretion system protein HxcR
IGKOFFHN_00021	gene	1212	epsF_1			
IGKOFFHN_00021	CDS	1212	epsF_1		COG1459	Type II secretion system protein F
IGKOFFHN_00022	gene	1110	phoA2			
IGKOFFHN_00022	CDS	1110	phoA2	3.1.3.1	COG0226	Alkaline phosphatase L
IGKOFFHN_00023	gene	12513				
IGKOFFHN_00023	CDS	12513				hypothetical protein
IGKOFFHN_00024	gene	195				
IGKOFFHN_00024	CDS	195				hypothetical protein
IGKOFFHN_00025	gene	948				
IGKOFFHN_00025	CDS	948				hypothetical protein
IGKOFFHN_00026	gene	1038				
IGKOFFHN_00026	CDS	1038				putative HTH-type transcriptional regulator
IGKOFFHN_00027	gene	888	yfeX_1			
IGKOFFHN_00027	CDS	888	yfeX_1	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
IGKOFFHN_00028	gene	969				
IGKOFFHN_00028	CDS	969		1.-.-.-		Oxidoreductase P35
IGKOFFHN_00029	gene	747	nagR_1			
IGKOFFHN_00029	CDS	747	nagR_1		COG2188	HTH-type transcriptional repressor NagR
IGKOFFHN_00030	gene	1731	aprA_1			
IGKOFFHN_00030	CDS	1731	aprA_1	1.8.99.2		Adenylylsulfate reductase subunit alpha
IGKOFFHN_00031	gene	246				
IGKOFFHN_00031	CDS	246				hypothetical protein
IGKOFFHN_00032	gene	1404				
IGKOFFHN_00032	CDS	1404				hypothetical protein
IGKOFFHN_00033	gene	246				
IGKOFFHN_00033	CDS	246				hypothetical protein
IGKOFFHN_00034	gene	783	ssuC_1			
IGKOFFHN_00034	CDS	783	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IGKOFFHN_00035	gene	849	nrtD_1			
IGKOFFHN_00035	CDS	849	nrtD_1	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
IGKOFFHN_00036	gene	963				
IGKOFFHN_00036	CDS	963				hypothetical protein
IGKOFFHN_00037	gene	351				
IGKOFFHN_00037	CDS	351				hypothetical protein
IGKOFFHN_00038	gene	1659	eptA_1			
IGKOFFHN_00038	CDS	1659	eptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
IGKOFFHN_00039	gene	738				
IGKOFFHN_00039	CDS	738				hypothetical protein
IGKOFFHN_00040	gene	1755	nfdA_1			
IGKOFFHN_00040	CDS	1755	nfdA_1	3.5.1.91		N-substituted formamide deformylase
IGKOFFHN_00041	gene	918	dmlR_1			
IGKOFFHN_00041	CDS	918	dmlR_1			HTH-type transcriptional regulator DmlR
IGKOFFHN_00042	gene	618	lexA_1			
IGKOFFHN_00042	CDS	618	lexA_1	3.4.21.88		LexA repressor
IGKOFFHN_00043	gene	618				
IGKOFFHN_00043	CDS	618				hypothetical protein
IGKOFFHN_00044	gene	1416	imuB			
IGKOFFHN_00044	CDS	1416	imuB			Protein ImuB
IGKOFFHN_00045	gene	3099	dnaE2			
IGKOFFHN_00045	CDS	3099	dnaE2	2.7.7.7		Error-prone DNA polymerase
IGKOFFHN_00046	gene	780				
IGKOFFHN_00046	CDS	780				hypothetical protein
IGKOFFHN_00047	gene	363				
IGKOFFHN_00047	CDS	363				hypothetical protein
IGKOFFHN_00048	gene	660				
IGKOFFHN_00048	CDS	660			COG4380	Putative lipoprotein/NMB1162
IGKOFFHN_00049	gene	660				
IGKOFFHN_00049	CDS	660				hypothetical protein
IGKOFFHN_00050	gene	1488	dadD			
IGKOFFHN_00050	CDS	1488	dadD	3.5.4.31		5'-deoxyadenosine deaminase
IGKOFFHN_00051	gene	1197	atzC			
IGKOFFHN_00051	CDS	1197	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
IGKOFFHN_00052	gene	1053	spuE_1			
IGKOFFHN_00052	CDS	1053	spuE_1		COG0687	Spermidine-binding periplasmic protein SpuE
IGKOFFHN_00053	gene	789	ydcV_1			
IGKOFFHN_00053	CDS	789	ydcV_1			Inner membrane ABC transporter permease protein YdcV
IGKOFFHN_00054	gene	918	potB			
IGKOFFHN_00054	CDS	918	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
IGKOFFHN_00055	gene	1086	potA_1			
IGKOFFHN_00055	CDS	1086	potA_1	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
IGKOFFHN_00056	gene	690				
IGKOFFHN_00056	CDS	690				hypothetical protein
IGKOFFHN_00057	gene	2112	rcsC_1			
IGKOFFHN_00057	CDS	2112	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
IGKOFFHN_00058	gene	2634	uvrA_1			
IGKOFFHN_00058	CDS	2634	uvrA_1		COG0178	UvrABC system protein A
IGKOFFHN_00059	gene	1944	rcsC_2			
IGKOFFHN_00059	CDS	1944	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
IGKOFFHN_00060	gene	876	luxQ			
IGKOFFHN_00060	CDS	876	luxQ	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
IGKOFFHN_00061	gene	1011				
IGKOFFHN_00061	CDS	1011				hypothetical protein
IGKOFFHN_00062	gene	405	rsbT			
IGKOFFHN_00062	CDS	405	rsbT	2.7.11.1	COG2172	Serine/threonine-protein kinase RsbT
IGKOFFHN_00063	gene	363	rsbS			
IGKOFFHN_00063	CDS	363	rsbS		COG1366	RsbT antagonist protein RsbS
IGKOFFHN_00064	gene	852				
IGKOFFHN_00064	CDS	852				hypothetical protein
IGKOFFHN_00065	gene	522				
IGKOFFHN_00065	CDS	522				hypothetical protein
IGKOFFHN_00066	gene	243				
IGKOFFHN_00066	CDS	243				hypothetical protein
IGKOFFHN_00067	gene	171				
IGKOFFHN_00067	CDS	171				hypothetical protein
IGKOFFHN_00068	gene	1077				
IGKOFFHN_00068	CDS	1077				hypothetical protein
IGKOFFHN_00069	gene	1146				
IGKOFFHN_00069	CDS	1146				hypothetical protein
IGKOFFHN_00070	gene	915	hdfR_1			
IGKOFFHN_00070	CDS	915	hdfR_1			HTH-type transcriptional regulator HdfR
IGKOFFHN_00071	gene	1719	fmt_1			
IGKOFFHN_00071	CDS	1719	fmt_1	2.1.2.9		Methionyl-tRNA formyltransferase
IGKOFFHN_00072	gene	507	fecI_1			
IGKOFFHN_00072	CDS	507	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
IGKOFFHN_00073	gene	948	fecR_1			
IGKOFFHN_00073	CDS	948	fecR_1		COG3712	Protein FecR
IGKOFFHN_00074	gene	2925	btuB_1			
IGKOFFHN_00074	CDS	2925	btuB_1			Vitamin B12 transporter BtuB
IGKOFFHN_00075	gene	492				
IGKOFFHN_00075	CDS	492				hypothetical protein
IGKOFFHN_00076	gene	504				
IGKOFFHN_00076	CDS	504				hypothetical protein
IGKOFFHN_00077	gene	2655	btuB_2			
IGKOFFHN_00077	CDS	2655	btuB_2			Vitamin B12 transporter BtuB
IGKOFFHN_00078	gene	1851				
IGKOFFHN_00078	CDS	1851				hypothetical protein
IGKOFFHN_00079	gene	1065	yejB_1			
IGKOFFHN_00079	CDS	1065	yejB_1		COG4174	Inner membrane ABC transporter permease protein YejB
IGKOFFHN_00080	gene	1023	yejE_1			
IGKOFFHN_00080	CDS	1023	yejE_1		COG4239	Inner membrane ABC transporter permease protein YejE
IGKOFFHN_00081	gene	1635	yejF_1			
IGKOFFHN_00081	CDS	1635	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
IGKOFFHN_00082	gene	528				
IGKOFFHN_00082	CDS	528				hypothetical protein
IGKOFFHN_00083	gene	1038				
IGKOFFHN_00083	CDS	1038				hypothetical protein
IGKOFFHN_00084	gene	600				
IGKOFFHN_00084	CDS	600				hypothetical protein
IGKOFFHN_00085	gene	318				
IGKOFFHN_00085	CDS	318				hypothetical protein
IGKOFFHN_00086	gene	711	gpmA			
IGKOFFHN_00086	CDS	711	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IGKOFFHN_00087	gene	1023	sohB			
IGKOFFHN_00087	CDS	1023	sohB	3.4.21.-	COG0616	putative protease SohB
IGKOFFHN_00088	gene	4881				
IGKOFFHN_00088	CDS	4881				hypothetical protein
IGKOFFHN_00089	gene	495				
IGKOFFHN_00089	CDS	495				hypothetical protein
IGKOFFHN_00090	gene	1659	sir_1			
IGKOFFHN_00090	CDS	1659	sir_1	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
IGKOFFHN_00091	gene	114				
IGKOFFHN_00091	CDS	114				hypothetical protein
IGKOFFHN_00092	gene	1074				
IGKOFFHN_00092	CDS	1074				hypothetical protein
IGKOFFHN_00093	gene	219				
IGKOFFHN_00093	CDS	219				hypothetical protein
IGKOFFHN_00094	gene	5256				
IGKOFFHN_00094	CDS	5256				hypothetical protein
IGKOFFHN_00095	gene	3711	metH			
IGKOFFHN_00095	CDS	3711	metH	2.1.1.13	COG0646	Methionine synthase
IGKOFFHN_00096	gene	2295				
IGKOFFHN_00096	CDS	2295				hypothetical protein
IGKOFFHN_00097	gene	1002				
IGKOFFHN_00097	CDS	1002				hypothetical protein
IGKOFFHN_00098	gene	585	nfuA			
IGKOFFHN_00098	CDS	585	nfuA		COG0316	Fe/S biogenesis protein NfuA
IGKOFFHN_00099	gene	747	cobM			
IGKOFFHN_00099	CDS	747	cobM	2.1.1.133	COG2875	Precorrin-4 C(11)-methyltransferase
IGKOFFHN_00100	gene	414	cbiG			
IGKOFFHN_00100	CDS	414	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
IGKOFFHN_00101	gene	702				
IGKOFFHN_00101	CDS	702				hypothetical protein
IGKOFFHN_00102	gene	198				
IGKOFFHN_00102	CDS	198				hypothetical protein
IGKOFFHN_00103	gene	1074				
IGKOFFHN_00103	CDS	1074				hypothetical protein
IGKOFFHN_00104	gene	3882	cobN			
IGKOFFHN_00104	CDS	3882	cobN	6.6.1.2		Aerobic cobaltochelatase subunit CobN
IGKOFFHN_00105	gene	1002				
IGKOFFHN_00105	CDS	1002			COG1239	putative protein
IGKOFFHN_00106	gene	564				
IGKOFFHN_00106	CDS	564				hypothetical protein
IGKOFFHN_00107	gene	1647				
IGKOFFHN_00107	CDS	1647				hypothetical protein
IGKOFFHN_00108	gene	1224				
IGKOFFHN_00108	CDS	1224		1.-.-.-		NADH oxidase
IGKOFFHN_00109	gene	411				
IGKOFFHN_00109	CDS	411				hypothetical protein
IGKOFFHN_00110	gene	1557				
IGKOFFHN_00110	CDS	1557				hypothetical protein
IGKOFFHN_00111	gene	1077				
IGKOFFHN_00111	CDS	1077				hypothetical protein
IGKOFFHN_00112	gene	879				
IGKOFFHN_00112	CDS	879				hypothetical protein
IGKOFFHN_00113	gene	3159				
IGKOFFHN_00113	CDS	3159				hypothetical protein
IGKOFFHN_00114	gene	2175				
IGKOFFHN_00114	CDS	2175				hypothetical protein
IGKOFFHN_00115	gene	165				
IGKOFFHN_00115	CDS	165				hypothetical protein
IGKOFFHN_00116	gene	432				
IGKOFFHN_00116	CDS	432				hypothetical protein
IGKOFFHN_00117	gene	147				
IGKOFFHN_00117	CDS	147				hypothetical protein
IGKOFFHN_00118	gene	849	peb1A			
IGKOFFHN_00118	CDS	849	peb1A		COG0834	Major cell-binding factor
IGKOFFHN_00119	gene	663	glnP_1			
IGKOFFHN_00119	CDS	663	glnP_1		COG0765	Glutamine transport system permease protein GlnP
IGKOFFHN_00120	gene	663	tcyB			
IGKOFFHN_00120	CDS	663	tcyB		COG0765	L-cystine transport system permease protein TcyB
IGKOFFHN_00121	gene	798	glnQ_1			
IGKOFFHN_00121	CDS	798	glnQ_1			Glutamine transport ATP-binding protein GlnQ
IGKOFFHN_00122	gene	390	yabJ_1			
IGKOFFHN_00122	CDS	390	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
IGKOFFHN_00123	gene	765	xynR_1			
IGKOFFHN_00123	CDS	765	xynR_1		COG1414	HTH-type transcriptional regulator XynR
IGKOFFHN_00124	gene	1221				
IGKOFFHN_00124	CDS	1221		4.1.2.42		D-threonine aldolase
IGKOFFHN_00125	gene	936	kdgK_1			
IGKOFFHN_00125	CDS	936	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
IGKOFFHN_00126	gene	276	ppiC_1			
IGKOFFHN_00126	CDS	276	ppiC_1	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
IGKOFFHN_00127	gene	2538	rcsC_3			
IGKOFFHN_00127	CDS	2538	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
IGKOFFHN_00128	gene	1110	pilT_1			
IGKOFFHN_00128	CDS	1110	pilT_1		COG2805	Twitching mobility protein
IGKOFFHN_00129	gene	1956	acs_1			
IGKOFFHN_00129	CDS	1956	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
IGKOFFHN_00130	gene	774	bdhA			
IGKOFFHN_00130	CDS	774	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
IGKOFFHN_00131	gene	1392				
IGKOFFHN_00131	CDS	1392				hypothetical protein
IGKOFFHN_00132	gene	1416	norR_1			
IGKOFFHN_00132	CDS	1416	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
IGKOFFHN_00133	gene	3933				
IGKOFFHN_00133	CDS	3933				hypothetical protein
IGKOFFHN_00134	gene	936				
IGKOFFHN_00134	CDS	936				hypothetical protein
IGKOFFHN_00135	gene	1275				
IGKOFFHN_00135	CDS	1275				hypothetical protein
IGKOFFHN_00136	gene	1332				
IGKOFFHN_00136	CDS	1332				hypothetical protein
IGKOFFHN_00137	gene	1575	yejF_2			
IGKOFFHN_00137	CDS	1575	yejF_2		COG4172	putative ABC transporter ATP-binding protein YejF
IGKOFFHN_00138	gene	1023	yejE_2			
IGKOFFHN_00138	CDS	1023	yejE_2		COG4239	Inner membrane ABC transporter permease protein YejE
IGKOFFHN_00139	gene	1062	yejB_2			
IGKOFFHN_00139	CDS	1062	yejB_2		COG4174	Inner membrane ABC transporter permease protein YejB
IGKOFFHN_00140	gene	1869				
IGKOFFHN_00140	CDS	1869				hypothetical protein
IGKOFFHN_00141	gene	282	ppiC_2			
IGKOFFHN_00141	CDS	282	ppiC_2	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
IGKOFFHN_00142	gene	870	lips_1			
IGKOFFHN_00142	CDS	870	lips_1	3.1.1.3		Triacylglycerol lipase
IGKOFFHN_00143	gene	1119				
IGKOFFHN_00143	CDS	1119				hypothetical protein
IGKOFFHN_00144	gene	1071	aroF_1			
IGKOFFHN_00144	CDS	1071	aroF_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
IGKOFFHN_00145	gene	444				
IGKOFFHN_00145	CDS	444				hypothetical protein
IGKOFFHN_00146	gene	585	gacA			
IGKOFFHN_00146	CDS	585	gacA			Response regulator GacA
IGKOFFHN_00147	gene	1824	uvrC			
IGKOFFHN_00147	CDS	1824	uvrC		COG0322	UvrABC system protein C
IGKOFFHN_00148	gene	561	pgsA			
IGKOFFHN_00148	CDS	561	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
